"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",0,40627.6721528302,9565.14105371135,4787.17457133901,11216.3170868585,1113.78480001895,904.726894990881,4822.09360706989,3940.41194384963,2687.28799611425,1691.0287155003,1104.93909034355,0,279.213510120206,1090.47176877589,0,2835.36231275107,179.047477438131,0,0,0,486.460803633838,1202.63939953262,459.076887180231,82.9780574433016,951.625452233768,3346.72736167236,15.277628892383,1173.25976615165,1107.96534228163,0
"2",37159.0299776811,0,16019.7126235055,1798.67165165012,0,17.8584205706688,857.98214448175,0,0,1234.19862494276,2143.13970409873,650.059780036186,349.276815173153,954.355622505751,486.766589217393,444.428652576594,0,104.175389237769,58.8157700868071,392.003531344914,943.771937084735,1778.20138095353,1542.69215080291,0,471.35139654393,76.6812341927013,1329.20460059497,0,0,0,0
"3",21921.5589921977,2956.96656295882,0,2565.5607349196,2278.52715367598,1010.75502144943,1514.62425604495,748.105195433459,1190.07548942157,5883.39253600176,735.0575983452,161.982536979935,2267.41309907004,39.8369222261509,705.452213694004,77.871036017279,4631.83018630194,0,81.350783651461,1155.87050141324,127.883523161552,110.42233332075,452.081056604719,1616.90496880161,0,484.034850412593,269.562981581061,323.221927281363,1103.42748424771,0,0
"4",2476.03228885814,729.415148609156,858.707555488963,0,1519.77677893885,0,163.479256302109,0,4078.74611785571,1750.19644025744,2600.42026150072,1080.46558886869,1415.84475183877,0,0,2638.88338011242,0,215.193893269096,222.835211841126,2128.54141750218,489.946520818213,0,0,2738.56013318095,52.2557449532066,1718.02002005248,93.0549491491166,0,0,1818.88311285475,0
"5",2744.26366197013,1039.12844857317,5036.51479043432,0,0,2510.61940795507,0.160751959156116,0,1680.36081984761,0,0,1276.96516177353,813.303458866623,260.984743347428,316.211527850709,215.003352971238,1350.74467620015,2206.10922184633,879.696340444293,0,557.483532510998,2159.78897516487,0,538.655264166016,2478.98380381938,0,887.811009451193,0,643.535047498162,3125.7447367167,0
"6",58.1991308574558,780.139418044332,3661.73782930458,179.786229826218,0,0,0,744.606565370905,0,0,0,276.304838206568,163.700342364179,0,0,1631.60475510266,0,0,2111.08576756025,761.030137924125,0,358.391525007578,713.683783119285,0,0,1274.85495829921,691.179392673945,0,0,0,0
"7",1833.68309098957,450.356911309272,2131.84348711492,451.684430685785,42.751972677354,0,0,0,407.495394741794,0,204.284746815331,0,0,0,108.428277340525,0,501.467388980105,1108.75284172939,0,405.306353605241,0,230.744601855229,0,908.552751331712,0,0,43.3941332686164,0,66.9844587102785,294.052556841904,0
"8",2702.15212498973,5776.3047686006,0,186.907454168115,304.50032339235,1228.38897332609,1685.62087229249,0,92.7492893202501,0,0,208.0976041999,1155.80918520333,0,0,172.997868633979,0,108.213571830991,1202.81272929537,0,0,0,663.652839157325,695.656237032333,904.446263733275,217.299070724999,0,0,1541.02679412908,879.780239357351,0
"9",0,4129.74259091445,1757.74331912,711.248382791339,950.913684398211,0,0,187.694611758129,0,2471.09587724182,145.126004566731,0,834.647010588189,0,0,954.052228316533,0,0,47.1651142556872,530.625056003191,0,34.0035693199977,0,3920.91206037203,0,195.445771960647,0,80.3367585671104,1448.97020838714,800.609146071881,0
"10",1316.76093695628,1472.09888921594,2295.54463234487,2088.87186457732,1876.55488521163,176.070105978755,222.32487978906,0,1173.98259209721,0,863.994003861276,0,175.81419791473,164.785986169281,2291.7100359988,914.187334157075,146.794797549174,0,729.612824552152,1497.26559150249,0,109.143261919302,0,31.4485031528985,327.137399109872,1284.24440854085,0,105.653970500311,0,0,0
"11",2577.18784586699,2369.67885144052,0,155.890572997429,0,509.597945699053,0,797.089711149525,0,301.202754940456,0,163.110143206088,1362.5338047361,0,0,2654.01178782134,244.874127974103,2208.94030972153,132.957178980831,0,199.898109866022,0,0,0,413.114652133418,0,303.091311967426,229.910091036015,1023.45370868217,335.5186371435,0
"12",1818.82911254574,800.62087202678,0,0,0,0,0,186.115822215379,213.283589734677,695.267293033448,0,0,802.154253469936,591.584803704583,0,0,299.922415615517,0,48.6478696445787,815.907910180945,0,0,0,55.4085680211853,270.535281297999,0,0,0,197.814684718446,0,0
"13",1587.14321876834,268.340532795832,511.688034905688,656.312677278653,422.700130516962,0,193.334767863815,240.930941061711,2202.55877324536,0,0,0,0,301.334555349765,254.969723414412,0,139.671059049831,0,0,1428.8896104362,779.587168383659,799.193512735399,0,4.58143985987402,0,0,78.6881041683248,426.467850228134,0,1216.92174248271,0
"14",717.008372582961,512.108812626049,430.390817474312,0,1323.10445919273,126.94234520366,54.8773959471671,692.709345379028,0,0,396.964610565595,52.4445205545615,29.7615099962623,0,58.7488690997906,696.586091815896,0,219.491854484325,0,281.440928693406,0,0,96.6196306262979,0,10.0915330329974,213.568708720403,0,0,0,0,0
"15",17.6972489663348,61.1018623668164,48.3374088697269,750.725932737037,0,73.3040642149758,361.069800979017,408.256613769719,485.875334469549,1156.44200968719,1337.60799814441,0.381762098507807,707.738909702657,308.672368677897,0,0,0,0,0,236.053794468115,0,853.013047888616,259.047222495295,24.9503101129363,1144.83099212899,920.246545649165,73.119033635476,119.577342106078,0,0,0
"16",312.045405870059,0,1044.3033693406,3749.81895605923,290.271720801393,0,245.401730996328,0,0,517.158328423485,1369.65808181163,0,0,0,676.894973185753,0,3501.68196496102,0,0,891.376569570733,409.716155360678,1290.94961324049,1644.31995512193,227.973634980906,252.750244601176,2518.65467927938,0,339.957968684582,0,0,0
"17",2629.66405747249,318.637868111878,0,1522.02358186187,1538.24124560192,0,807.328759771611,0,559.275766545777,353.815372483055,639.030826032682,172.213691683384,0,2082.59054011284,0,285.097658118499,0,0,336.721993951206,0,906.750419773341,493.240686991384,35.6608004081373,0,1174.89820147516,2359.83210116703,1662.51342220242,0,0,0,0
"18",629.524704385966,874.610112832676,691.989785126635,174.00947446774,1009.64113894823,0,542.179480929565,1453.65305154255,0,735.056748494936,0,0,308.339684496979,0,570.090586244302,0,0,0,164.519650370793,123.272227556613,0,211.911421097758,21.6114545820803,148.988773007075,1328.47290974183,0,183.982935419652,0,121.868501375431,97.2032310239044,0
"19",537.932032797894,213.344866544158,2823.09982467375,0,0,616.072574090937,0,237.350051555508,82.248465930779,0,280.660864454663,341.486935665446,0,0,0,966.665297429724,295.761768200411,0,0,0,14.4146931376718,398.194130616914,0,1135.59610476962,768.725332843325,0,0,0,0,0,0
"20",1831.15468921452,1578.28511724963,592.671550426376,0,0,2947.79795524358,207.46014875323,0,0,0,481.154550776658,0,343.62325488734,0,0,0,1817.56863723315,0,0,0,0,0,0,250.682860266944,0,0,0,0,813.051116198762,1449.65655988307,0
"21",37.651008571114,0,677.888278231614,0,321.287223683646,0,0,0,826.95650470015,277.517860300533,0,0,28.0805542503309,0,403.384050608104,96.8141660422518,560.469487194253,0,0,232.089015415814,0,0,0,615.908665674673,876.052723291115,10.0680674675337,1170.00693682118,17.0957390068905,0,0,0
"22",1032.04124518814,579.657485034713,2337.90268693535,0,637.50866170665,0,0,0,435.519237382002,362.138090029856,0,0,0,78.7331973490663,400.957797965212,0,0,0,0,439.621537533016,31.0112370012368,0,0,676.240695926321,14.3157156227911,1706.06479271484,0,2556.91501822216,1328.9531907753,0,0
"23",1906.50121386012,0,725.341447783771,53.340680798189,0,442.691612011946,123.914535320025,1865.37037846861,374.67173505173,0,52.2450197495891,0,0,105.131664182515,0,270.519889474896,403.383574172478,819.462777850476,0,0,0,0,0,0,0,0,0,0,0,516.317384869802,0
"24",2012.03249079596,665.614294515097,128.421840225478,2335.15144077579,2746.7306675584,152.901886157404,867.764834556575,3055.21282049518,0,131.077824047681,477.601201010699,521.5219096229,0,0,0,60.0424063768892,105.343905171438,1102.23318924627,552.269935718312,0,0,840.095696052226,0,0,224.149037144502,539.19371248694,590.216950459504,461.62702923708,26.2839480772501,648.474020369488,0
"25",2424.15013596214,0,905.875480268515,16.5814858130527,922.320746480404,1092.11759066205,0,0,241.35195099153,478.713216132491,0,0,0,0,223.782964285266,1347.65522341828,118.029398040796,797.471110019161,369.417319540932,349.160191489043,69.9371102431689,382.047781878826,49.6044176949094,1458.27391144203,0,0,0,451.939330695075,0,0,0
