"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,43186.6373165163,92028.9493602531,0,2546.27411841271,505.244080926286,13656.9236036083,19454.985717718,4961.96127486499,10062.2931052271,0
"2",44422.0327099996,0,2402.87685256534,2162.3600309199,0,0,0,1450.36919861851,7407.53588277275,0,585.938232019178
"3",84442.4563728378,1620.02946312135,0,800.252829049824,3642.00669721076,2535.87710161236,11126.678738963,4190.1035549567,7595.58604649062,665.461941442913,34.4857090951619
"4",1250.08279893422,0,3935.7741174946,0,0,10079.6370410566,3304.68294499953,0,0,0,0
"5",2195.61621528593,0,0,4239.57521060447,0,0,0,7292.95405300931,0,0,0
"6",316.223679403003,97.7650520086056,1272.45281482121,2780.05824685681,5103.43232017635,0,5598.25131180301,2147.38725507468,5967.52172809645,2767.07985090424,0
"7",13905.3618251162,0,6932.00312328694,5353.86859972417,0,9486.81757436007,0,441.405453181926,0,0,0
"8",5745.38778960528,14189.9988049682,6284.34707720357,1112.14595679347,1354.82130609654,0,0,0,6621.96407333333,0,0
"9",30253.8783323745,0,4197.54844306605,972.456153948414,0,1474.45000737068,429.970295610411,0,0,0,0
"10",2306.77598212752,0,0,1052.48928589536,1234.24200208803,1844.27287771744,1937.77445756985,434.979652212348,4771.70002315045,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
