"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,106846.303222442,15541.4670513894,0,0,29807.5159486892,0,23939.9254994122,10268.0568555947,0
"2",44976.7551808811,0,0,0,12500.6845563103,0,918.922790286542,34.7503794181212,0,0,0
"3",80740.6712298916,0,0,0,1380.09188767403,0,0,34398.3006654205,0,133.874671794901,0
"4",0,0,0,0,0,18570.1769024851,0,0,0,0,0
"5",12213.6488690876,0,0,0,0,1514.49660981216,0,0,0,0,0
"6",0,14943.8008165691,0,2931.73926240329,0,0,4488.57242240672,979.133839932943,0,2706.92591783193,0
"7",34784.2002773498,0,0,0,0,1335.2562983192,0,0,0,0,0
"8",0,14389.8788906295,7146.46513572314,0,0,0,0,0,13386.3435292964,385.977452352525,0
"9",0,29760.7509294159,3061.18343052633,0,0,4506.36887242696,0,0,0,0,0
"10",12122.5401484752,0,0,0,0,0,839.270191171166,0,0,0,620.423941114336
"11",0,0,0,0,0,0,0,0,0,0,0
