"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,297.583145575178,262.304162875916,2599.9812139442,1248.7910327736,3185.93729460454,0,3055.26395255953,0,0,0
"2",0,0,371.397913529428,1883.56634022807,3296.4964579984,0,670.046296047301,179.154134964371,3201.60420182485,4492.05129876805,248.113088315616
"3",1177.48236264257,2784.86348930877,0,1320.59065603588,0,325.391832419407,0,1107.86772042591,0,0,5318.96352383098
"4",3056.19728539768,868.622224443251,135.328956129411,0,1496.17120384282,1481.34353781105,0,615.525536242442,812.625986929339,14.5013818552668,810.455051963199
"5",0,0,2039.61130014255,698.997350935372,0,0,3802.71645145349,2574.00650137278,0,0,3033.36367288449
"6",1701.57197437003,2491.49412820177,0,0,2617.89649813814,0,1752.37189364084,0,830.613819154764,0,1539.35330730077
"7",434.46005476085,0,3945.31894331702,0,985.063783895127,505.637785042585,0,347.34401350481,3823.48542875939,0,0
"8",0,0,2607.43408123789,323.400980875157,0,0,2263.8955029907,0,0,3369.48526178789,0
"9",2842.34600214094,337.157534422495,0,2512.67986769811,0,3690.54721075125,312.072606445313,321.993849705609,0,1230.13071722554,0
"10",776.738339217571,3041.39613923609,228.692735490105,0,25.869287171951,0,276.403292672011,1277.32339394435,943.338828057829,0,5787.99260193559
"11",0,0,0,0,0,0,0,0,0,0,0
