"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,0,0,2021.63071716225,615.692211296505,2159.24273173369,585.366971634826,3939.9860691222,1327.94210138337
"2",0,0,272.552277381129,0,2368.5493776959,4736.23483333661,0,0,2647.37527738474,0,4317.71796587782
"3",399.887732011889,0,0,3825.46972254347,0,853.124883679631,185.58207707205,814.103029260184,1572.40523497288,1688.5408867517,2696.04601837157
"4",0,0,0,0,3299.49709283092,0,0,742.282043798057,1018.82429695258,0,4230.16773103286
"5",3869.74678343089,5660.57843414761,0,358.293160268189,0,0,0,426.314569407258,0,968.82122223984,864.941107294688
"6",2005.82045211792,0,0,541.304680434861,0,0,1172.55953184437,0,2534.15671644682,1378.03391769237,3301.42632227004
"7",0,0,9317.5358153411,723.774193938485,0,0,0,0,0,0,0
"8",0,2736.38795239808,0,3283.18340323302,1393.83502913174,0,0,0,1150.80944212887,0,0
"9",2215.19445424738,0,0,607.191249298607,1431.6607621523,305.689197991758,219.868832348096,5336.53672852059,0,1130.78656383058,0
"10",1498.14659672162,1424.15027464175,0,0,1176.7460020093,1272.17802845852,6883.80339068869,0,102.730325205533,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
