"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,1865.31910475719,0,1339.52901102919,954.375710490881,397.361418556685,0,0,3127.91267049964,1467.21527603379,1498.14761096552
"2",0,0,718.384278344331,0,497.090539617086,454.10163070244,4532.23839787104,177.85312289985,1270.38507444043,869.79052893397,5822.58615886697
"3",3848.11494555647,0,0,4526.90891068929,1867.79386872306,174.524135735833,0,226.710169203203,0,0,1391.1075547557
"4",738.127399312652,2177.89755048447,956.478194397065,0,2050.55183700373,1693.25562659419,32.3960927942517,0,0,0,1642.06446402802
"5",1733.69783207653,0,0,357.204643451502,0,0,1072.9892608362,5268.82723146721,0,0,3715.97630895723
"6",0,3542.00507159204,749.457027564089,3115.57384454685,275.372491857965,0,0,2060.52628674114,0,290.239088299899,900.12781020442
"7",1738.05841401896,52.7286505320375,2738.71268362211,0,2859.59439211638,795.246870808708,0,1224.7728876025,0,632.196110579041,0
"8",0,423.109780716892,1408.45813543008,0,0,5413.09862880027,1319.54928194431,0,0,0,0
"9",0,0,3018.59777336454,0,0,261.269349430684,2120.33300980394,0,0,5846.72765579009,0
"10",1930.79742756505,1760.05650310472,0,0,1165.50942401096,0,0,519.789404805788,5213.37051978616,0,1768.23133845293
"11",0,0,0,0,0,0,0,0,0,0,0
