"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,59.4538133877227,644.861380650617,0,4645.57804675317,4191.95048567518,0,624.6054785212,0
"2",0,0,0,4339.25234310831,294.334555371358,0,258.574022312632,1769.75652013375,1085.4111661352,0,0
"3",873.686267896612,598.387679897125,0,1154.94458869006,3994.21701930932,0,3241.05549389989,0,0,0,0
"4",0,0,513.711419371471,0,0,5698.90275629297,0,1114.04850876771,0,0,0
"5",0,3322.17631951192,1396.28845754406,2578.1022464014,0,0,52.3028702424778,0,0,0,0
"6",0,3813.38596109052,764.775112673424,0,1232.54641413507,0,0,0,0,2380.12296530365,0
"7",2781.37032494397,0,1627.06646455235,0,0,0,0,0,2709.48294440046,1744.33999007857,0
"8",5719.63771449441,0,0,121.987218547453,0,0,0,0,2189.27769704463,4305.1609485219,0
"9",0,0,2308.26852874555,0,0,3554.99590505791,1359.96714577845,2824.20561891073,0,0,0
"10",0,1509.22355026805,3253.14357959168,924.442699828751,2986.89866989827,0,0,0,3655.38322201131,0,0
"11",0,0,0,0,0,0,0,0,30.8038501332194,0,0
