"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,0,0,829.55360744245,0,2247.77377951008,0,8299.91258254436,0,0,0
"2",0,0,0,4099.4764299463,0,3534.48384993109,0,0,1106.70952960799,3648.95652702125,0
"3",0,0,0,0,6355.5687315269,3527.822408244,938.365335466385,219.403763825436,0,1037.71720260947,0
"4",1679.0808320773,0,1493.82038666043,0,222.067917508683,0,2213.1083868073,0,713.153435859556,2001.26354590496,3820.97400915909
"5",5995.74538901018,0,4263.43008290568,0,0,0,0,0,1291.1967004238,0,0
"6",0,0,0,0,2507.79560450959,0,5138.57016690166,0,0,0,2455.86354202848
"7",0,0,3283.41640819162,2577.22712477024,0,0,0,578.934098608622,1558.50928288652,440.33909951075,1416.92602736184
"8",0,0,0,1652.66391336015,0,0,0,0,4597.53374140294,2231.39868110359,1608.1697860632
"9",18.1471086630654,8573.18699663781,0,0,0,0,0,0,0,289.7735993957,0
"10",1787.98161999347,885.488142480047,0,0,0,0,1457.08556510205,0,0,0,2221.13533514524
"11",0,0,0,0,0,0,0,0,0,0,0
