"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,52380.6834742435,39661.3557552349,8025.42878374562,34869.3526005084,2423.72383021874,19461.6376947497,11665.4611942582,22007.5521240147,0,0
"2",45537.6965688067,0,0,14206.3137630581,122.993021912465,11390.6123865013,0,0,0,12304.8627269791,0
"3",31211.2765136914,0,0,0,0,1914.0296073197,0,0,3245.99031879125,7356.86193216266,0
"4",71.8723943993959,5908.33945278568,0,0,2482.07058706661,15152.1420982251,0,0,0,5408.00038234389,0
"5",34845.9348038745,0,0,0,0,0,0,0,0,3523.63671108797,0
"6",27914.4860208975,235.061112796791,0,1298.63952843842,0,0,0,360.058019381098,0,0,860.161875512273
"7",854.071781928057,12191.3016172894,3131.68121167358,5572.80110066115,0,0,0,0,0,0,0
"8",10896.4711082521,0,0,0,1272.07070206277,0,0,0,0,0,0
"9",12127.7635075035,12902.290858018,344.672475523259,0,0,0,0,0,0,0,0
"10",25523.8414924015,0,439.265966510208,0,0,0,2381.32755608468,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
