"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,60178.8126877106,25603.6360008236,28955.7496329025,29180.0719355327,16771.9846660234,8603.49718142929,2154.34461125242,1918.08384264455,17014.9005533888,114.11434526607
"2",56053.6072471238,0,6471.62219205036,147.433543000523,0,1795.00741256071,9177.75447974131,7483.7328626057,2433.3207301749,0,0
"3",30863.4819413843,3918.06902810285,0,0,0,0,0,0,1378.20087195774,7568.40653052043,0
"4",0,7784.67051140671,3413.50858997042,0,0,12132.4568106517,686.043991838584,1944.1203132517,1943.31626329798,1118.30843440341,0
"5",24298.563247668,6198.30245245044,0,0,0,0,0,0,7274.94691844276,0,597.758896401454
"6",20154.6820817121,0,7278.89694133478,0,1034.94431262905,0,1756.56179482041,443.321426529491,0,0,0
"7",10668.5624132189,0,8.86333348587232,0,1225.37785002868,0,0,0,9847.05211481877,0,0
"8",288.126439453067,5537.82183546322,0,0,3450.8473011374,0,0,0,0,2891.7462342611,0
"9",21106.6739799972,0,800.448351276879,0,1519.14903989223,181.059033028967,1619.10780300477,0,0,0,148.288633844749
"10",25549.7168411971,0,0,0,2336.09647233039,0,0,0,458.621701469233,0,0
"11",0,0,0,0,0,0,0,0,0,0,0
